,TP,FP,TN,FN,,Total,Specifity,Sensitivity,False Positive Rate,Distance,,Min,
151,,,,,,1262,,,,,,0.07038199,49
169,151,535,576,0,,,0.518451845,1,0.481548155,0.481548155,,,
168,151,544,567,0,,,0.510351035,1,0.489648965,0.489648965,,,
167,151,554,557,0,,,0.501350135,1,0.498649865,0.498649865,,,
166,151,565,546,0,,,0.491449145,1,0.508550855,0.508550855,,,
165,151,580,531,0,,,0.477947795,1,0.522052205,0.522052205,,,
164,151,597,514,0,,,0.462646265,1,0.537353735,0.537353735,,,
163,151,612,499,0,,,0.449144914,1,0.550855086,0.550855086,,,
162,151,624,487,0,,,0.438343834,1,0.561656166,0.561656166,,,
161,151,643,468,0,,,0.421242124,1,0.578757876,0.578757876,,,
160,151,656,455,0,,,0.409540954,1,0.590459046,0.590459046,,,
159,151,675,436,0,,,0.392439244,1,0.607560756,0.607560756,,,
158,151,699,412,0,,,0.370837084,1,0.629162916,0.629162916,,,
157,151,726,385,0,,,0.346534653,1,0.653465347,0.653465347,,,
156,151,746,365,0,,,0.328532853,1,0.671467147,0.671467147,,,
155,151,767,344,0,,,0.309630963,1,0.690369037,0.690369037,,,
154,151,791,320,0,,,0.288028803,1,0.711971197,0.711971197,,,
153,151,809,302,0,,,0.271827183,1,0.728172817,0.728172817,,,
152,151,830,281,0,,,0.252925293,1,0.747074707,0.747074707,,,
151,151,849,262,0,,,0.235823582,1,0.764176418,0.764176418,,,
150,151,873,238,0,,,0.214221422,1,0.785778578,0.785778578,,,
149,151,889,222,0,,,0.199819982,1,0.800180018,0.800180018,,,
148,151,908,203,0,,,0.182718272,1,0.817281728,0.817281728,,,
147,151,921,190,0,,,0.171017102,1,0.828982898,0.828982898,,,
146,151,929,182,0,,,0.163816382,1,0.836183618,0.836183618,,,
145,151,947,164,0,,,0.147614761,1,0.852385239,0.852385239,,,
144,151,957,154,0,,,0.138613861,1,0.861386139,0.861386139,,,
143,151,971,140,0,,,0.126012601,1,0.873987399,0.873987399,,,
142,151,984,127,0,,,0.114311431,1,0.885688569,0.885688569,,,
141,151,994,117,0,,,0.105310531,1,0.894689469,0.894689469,,,
140,151,1003,108,0,,,0.097209721,1,0.902790279,0.902790279,,,
139,151,1010,101,0,,,0.090909091,1,0.909090909,0.909090909,,,
138,151,1016,95,0,,,0.085508551,1,0.914491449,0.914491449,,,
137,151,1026,85,0,,,0.076507651,1,0.923492349,0.923492349,,,
136,151,1035,76,0,,,0.068406841,1,0.931593159,0.931593159,,,
135,151,1041,70,0,,,0.063006301,1,0.936993699,0.936993699,,,
134,151,1047,64,0,,,0.057605761,1,0.942394239,0.942394239,,,
133,151,1053,58,0,,,0.052205221,1,0.947794779,0.947794779,,,
132,151,1058,53,0,,,0.04770477,1,0.95229523,0.95229523,,,
131,151,1066,45,0,,,0.04050405,1,0.95949595,0.95949595,,,
130,151,1068,43,0,,,0.03870387,1,0.96129613,0.96129613,,,
129,151,1073,38,0,,,0.03420342,1,0.96579658,0.96579658,,,
128,151,1079,32,0,,,0.02880288,1,0.97119712,0.97119712,,,
127,151,1084,27,0,,,0.02430243,1,0.97569757,0.97569757,,,
126,151,1088,23,0,,,0.02070207,1,0.97929793,0.97929793,,,
125,151,1091,20,0,,,0.0180018,1,0.9819982,0.9819982,,,
124,151,1094,17,0,,,0.01530153,1,0.98469847,0.98469847,,,
123,151,1096,15,0,,,0.01350135,1,0.98649865,0.98649865,,,
122,151,1096,15,0,,,0.01350135,1,0.98649865,0.98649865,,,
121,151,1097,14,0,,,0.01260126,1,0.98739874,0.98739874,,,
120,151,1097,14,0,,,0.01260126,1,0.98739874,0.98739874,,,
119,151,1101,10,0,,,0.0090009,1,0.9909991,0.9909991,,,
118,151,1102,9,0,,,0.00810081,1,0.99189919,0.99189919,,,
117,151,1105,6,0,,,0.00540054,1,0.99459946,0.99459946,,,
116,151,1105,6,0,,,0.00540054,1,0.99459946,0.99459946,,,
115,151,1106,5,0,,,0.00450045,1,0.99549955,0.99549955,,,
114,151,1107,4,0,,,0.00360036,1,0.99639964,0.99639964,,,
113,151,1108,3,0,,,0.00270027,1,0.99729973,0.99729973,,,
112,151,1109,2,0,,,0.00180018,1,0.99819982,0.99819982,,,
111,151,1109,2,0,,,0.00180018,1,0.99819982,0.99819982,,,
110,151,1110,1,0,,,0.00090009,1,0.99909991,0.99909991,,,
109,151,1110,1,0,,,0.00090009,1,0.99909991,0.99909991,,,
108,151,1110,1,0,,,0.00090009,1,0.99909991,0.99909991,,,
107,151,1110,1,0,,,0.00090009,1,0.99909991,0.99909991,,,
106,151,1111,0,0,,,0,1,1,1,,,
105,151,1111,0,0,,,0,1,1,1,,,
104,151,1111,0,0,,,0,1,1,1,,,
103,151,1111,0,0,,,0,1,1,1,,,
102,151,1111,0,0,,,0,1,1,1,,,
101,151,1111,0,0,,,0,1,1,1,,,
100,151,1111,0,0,,,0,1,1,1,,,
99,151,1111,0,0,,,0,1,1,1,,,
98,151,1111,0,0,,,0,1,1,1,,,
97,151,1111,0,0,,,0,1,1,1,,,
96,151,1111,0,0,,,0,1,1,1,,,
95,151,1111,0,0,,,0,1,1,1,,,
94,151,1111,0,0,,,0,1,1,1,,,
93,151,1111,0,0,,,0,1,1,1,,,
92,151,1111,0,0,,,0,1,1,1,,,
91,151,1111,0,0,,,0,1,1,1,,,
90,151,1111,0,0,,,0,1,1,1,,,
89,151,1111,0,0,,,0,1,1,1,,,
88,151,1111,0,0,,,0,1,1,1,,,
87,151,1111,0,0,,,0,1,1,1,,,
86,151,1111,0,0,,,0,1,1,1,,,
85,151,1111,0,0,,,0,1,1,1,,,
84,151,1111,0,0,,,0,1,1,1,,,
83,151,1111,0,0,,,0,1,1,1,,,
82,151,1111,0,0,,,0,1,1,1,,,
81,151,1111,0,0,,,0,1,1,1,,,
80,151,1111,0,0,,,0,1,1,1,,,
79,151,1111,0,0,,,0,1,1,1,,,
78,151,1111,0,0,,,0,1,1,1,,,
77,151,1111,0,0,,,0,1,1,1,,,
76,151,1111,0,0,,,0,1,1,1,,,
75,151,1111,0,0,,,0,1,1,1,,,
74,151,1111,0,0,,,0,1,1,1,,,
73,151,1111,0,0,,,0,1,1,1,,,
72,151,1111,0,0,,,0,1,1,1,,,
71,151,1111,0,0,,,0,1,1,1,,,
70,151,1111,0,0,,,0,1,1,1,,,
69,151,1111,0,0,,,0,1,1,1,,,
68,151,1111,0,0,,,0,1,1,1,,,
67,151,1111,0,0,,,0,1,1,1,,,
66,151,1111,0,0,,,0,1,1,1,,,
65,151,1111,0,0,,,0,1,1,1,,,
64,151,1111,0,0,,,0,1,1,1,,,
63,151,1111,0,0,,,0,1,1,1,,,
62,151,1111,0,0,,,0,1,1,1,,,
61,151,1111,0,0,,,0,1,1,1,,,
60,151,1111,0,0,,,0,1,1,1,,,
59,151,1111,0,0,,,0,1,1,1,,,
58,151,1111,0,0,,,0,1,1,1,,,
57,151,1111,0,0,,,0,1,1,1,,,
56,151,1111,0,0,,,0,1,1,1,,,
55,151,1111,0,0,,,0,1,1,1,,,
54,151,1111,0,0,,,0,1,1,1,,,
53,151,1111,0,0,,,0,1,1,1,,,
52,151,1111,0,0,,,0,1,1,1,,,
51,151,1111,0,0,,,0,1,1,1,,,
50,151,1111,0,0,,,0,1,1,1,,,
49,151,1111,0,0,,,0,1,1,1,,,
48,151,1111,0,0,,,0,1,1,1,,,
47,151,1111,0,0,,,0,1,1,1,,,
46,151,1111,0,0,,,0,1,1,1,,,
45,151,1111,0,0,,,0,1,1,1,,,
44,151,1111,0,0,,,0,1,1,1,,,
43,151,1111,0,0,,,0,1,1,1,,,
42,151,1111,0,0,,,0,1,1,1,,,
41,151,1111,0,0,,,0,1,1,1,,,
40,151,1111,0,0,,,0,1,1,1,,,
39,151,1111,0,0,,,0,1,1,1,,,
38,151,1111,0,0,,,0,1,1,1,,,
37,151,1111,0,0,,,0,1,1,1,,,
36,151,1111,0,0,,,0,1,1,1,,,
35,151,1111,0,0,,,0,1,1,1,,,
34,151,1111,0,0,,,0,1,1,1,,,
33,151,1111,0,0,,,0,1,1,1,,,
32,151,1111,0,0,,,0,1,1,1,,,
31,151,1111,0,0,,,0,1,1,1,,,
30,151,1111,0,0,,,0,1,1,1,,,
29,151,1111,0,0,,,0,1,1,1,,,
28,151,1111,0,0,,,0,1,1,1,,,
27,151,1111,0,0,,,0,1,1,1,,,
26,151,1111,0,0,,,0,1,1,1,,,
25,151,1111,0,0,,,0,1,1,1,,,
24,151,1111,0,0,,,0,1,1,1,,,
23,151,1111,0,0,,,0,1,1,1,,,
22,151,1111,0,0,,,0,1,1,1,,,
21,151,1111,0,0,,,0,1,1,1,,,
20,151,1111,0,0,,,0,1,1,1,,,
19,151,1111,0,0,,,0,1,1,1,,,
18,151,1111,0,0,,,0,1,1,1,,,
17,151,1111,0,0,,,0,1,1,1,,,
16,151,1111,0,0,,,0,1,1,1,,,
15,151,1111,0,0,,,0,1,1,1,,,
14,151,1111,0,0,,,0,1,1,1,,,
13,151,1111,0,0,,,0,1,1,1,,,
12,151,1111,0,0,,,0,1,1,1,,,
11,151,1111,0,0,,,0,1,1,1,,,
10,151,1111,0,0,,,0,1,1,1,,,
9,151,1111,0,0,,,0,1,1,1,,,
8,151,1111,0,0,,,0,1,1,1,,,
7,151,1111,0,0,,,0,1,1,1,,,
6,151,1111,0,0,,,0,1,1,1,,,
5,151,1111,0,0,,,0,1,1,1,,,
4,151,1111,0,0,,,0,1,1,1,,,
3,151,1111,0,0,,,0,1,1,1,,,
2,151,1111,0,0,,,0,1,1,1,,,
1,151,1111,0,0,,,0,1,1,1,,,
0,151,1111,0,0,,,0,1,1,1,,,
